Zhao Su Ho White
-50 0 50 0
-30 0 30 0
0 50 -50 0
0 -40 0 40
40 -40 0 0
-130 -100 -100 330
0 0 -40 40
-60 -60 210 -90
0 0 50 -50
210 -60 -90 -60
-50 -60 160 -50
-50 0 50 0
-30 30 0 0
0 0 40 -40
0 0 -100 100
0 0 -30 30
50 0 -50 0
0 -40 0 40
-60 0 0 60
0 -100 0 100
0 0 -40 40
0 0 -40 40
-30 0 30 0
0 0 50 -50
60 0 -60 0
0 -40 40 0
0 -40 0 40
-30 0 30 0
-40 130 -50 -40
-50 -50 160 -60
-60 -50 160 -50
0 50 0 -50
-80 240 -80 -80
0 0 40 -40
0 0 50 -50
30 0 0 -30
0 60 -60 0
-60 160 -50 -50
-60 0 0 60
40 0 0 -40
-30 0 30 0
-60 -50 -50 160
0 0 -60 60
0 0 50 -50
0 -50 0 50
60 -60 0 0
30 0 -30 0
-30 30 0 0
-70 -60 190 -60
40 0 -40 0
40 0 0 -40
40 -40 0 0
-50 0 50 0
-40 0 40 0
-60 210 -90 -60
-30 0 30 0
-90 -90 -90 270
0 70 0 -70
180 -60 -60 -60
70 0 0 -70
90 -90 0 0
-110 -70 250 -70
40 0 -40 0
